date, pm25
24/6/2022,49
25/6/2022,53
26/6/2022,45
27/6/2022,46
28/6/2022,41
29/6/2022,44
30/6/2022,48
3/1/2022,74
4/1/2022,73
5/1/2022,71
6/1/2022,67
7/1/2022,73
8/1/2022,81
9/1/2022,69
10/1/2022,72
11/1/2022,69
12/1/2022,85
13/1/2022,97
14/1/2022,98
15/1/2022,100
16/1/2022,77
17/1/2022,62
18/1/2022,75
19/1/2022,86
20/1/2022,70
21/1/2022,72
22/1/2022,65
23/1/2022,69
24/1/2022,75
25/1/2022,70
26/1/2022,72
27/1/2022,73
28/1/2022,74
29/1/2022,68
30/1/2022,77
31/1/2022,82
1/2/2022,86
2/2/2022,76
3/2/2022,75
4/2/2022,87
5/2/2022,83
6/2/2022,70
7/2/2022,64
8/2/2022,62
9/2/2022,70
10/2/2022,70
11/2/2022,84
12/2/2022,90
13/2/2022,95
14/2/2022,102
15/2/2022,113
16/2/2022,86
17/2/2022,92
18/2/2022,82
19/2/2022,66
20/2/2022,68
21/2/2022,85
22/2/2022,96
23/2/2022,101
24/2/2022,100
25/2/2022,99
26/2/2022,118
27/2/2022,135
28/2/2022,143
1/3/2022,149
2/3/2022,147
3/3/2022,148
4/3/2022,153
5/3/2022,144
6/3/2022,120
7/3/2022,129
8/3/2022,82
9/3/2022,84
10/3/2022,109
11/3/2022,115
12/3/2022,114
13/3/2022,116
14/3/2022,127
15/3/2022,103
16/3/2022,119
17/3/2022,137
18/3/2022,151
19/3/2022,131
20/3/2022,113
21/3/2022,79
22/3/2022,66
23/3/2022,53
24/3/2022,74
25/3/2022,98
26/3/2022,114
27/3/2022,137
28/3/2022,143
29/3/2022,133
30/3/2022,136
31/3/2022,144
1/10/2021,57
2/10/2021,52
3/10/2021,51
4/10/2021,55
5/10/2021,59
6/10/2021,57
7/10/2021,60
8/10/2021,65
9/10/2021,74
10/10/2021,76
11/10/2021,55
12/10/2021,45
13/10/2021,47
14/10/2021,61
15/10/2021,49
16/10/2021,36
17/10/2021,40
18/10/2021,48
19/10/2021,51
20/10/2021,56
21/10/2021,50
22/10/2021,43
23/10/2021,36
24/10/2021,41
25/10/2021,54
26/10/2021,64
27/10/2021,73
28/10/2021,54
29/10/2021,64
30/10/2021,56
31/10/2021,52
1/11/2021,47
2/11/2021,47
3/11/2021,55
4/11/2021,59
5/11/2021,61
6/11/2021,63
7/11/2021,64
8/11/2021,66
9/11/2021,74
10/11/2021,67
11/11/2021,67
12/11/2021,67
13/11/2021,65
14/11/2021,69
15/11/2021,71
16/11/2021,75
17/11/2021,75
18/11/2021,77
19/11/2021,84
20/11/2021,79
21/11/2021,60
22/11/2021,69
23/11/2021,71
24/11/2021,63
25/11/2021,69
26/11/2021,77
27/11/2021,69
28/11/2021,57
29/11/2021,69
30/11/2021,67
1/12/2021,68
2/12/2021,79
3/12/2021,76
4/12/2021,80
5/12/2021,83
6/12/2021,88
7/12/2021,110
8/12/2021,109
9/12/2021,93
10/12/2021,76
11/12/2021,77
12/12/2021,80
13/12/2021,82
14/12/2021,78
15/12/2021,83
16/12/2021,78
17/12/2021,72
18/12/2021,80
19/12/2021,90
20/12/2021,94
21/12/2021,101
22/12/2021,95
23/12/2021,97
24/12/2021,99
25/12/2021,107
26/12/2021,107
27/12/2021,90
28/12/2021,80
